name;url;salary_from;salary_to;requirements
Сотрудник в Консульский отдел;https://hh.ru/vacancy/82520425;0;0;
Корпоративный водитель;https://hh.ru/vacancy/82397206;0;0;
Sales manager/Customer service specialist;https://hh.ru/vacancy/80231071;0;0;
Бариста;https://hh.ru/vacancy/81359056;0;0;
Главный бухгалтер;https://hh.ru/vacancy/81896646;0;0;
Кладовщик / Storekeeper;https://hh.ru/vacancy/82124446;0;0;
Java разработчик;https://hh.ru/vacancy/82440804;0;0;
Web-разработчик;https://hh.ru/vacancy/82435948;0;0;
Раннер;https://hh.ru/vacancy/81199042;0;0;
Семейный водитель;https://hh.ru/vacancy/81807100;0;0;
Trainee front-end developer;https://hh.ru/vacancy/82236842;0;0;
Junior QA Engineer;https://hh.ru/vacancy/82510820;0;0;
QA Engineer;https://hh.ru/vacancy/82524081;0;0;
Country CFO;https://hh.ru/vacancy/82526570;0;0;
Web-программист;https://hh.ru/vacancy/82456957;0;0;
Стажер на сборку и проектирование БПЛА;https://hh.ru/vacancy/81431490;0;0;
Координатор школы (на лето);https://hh.ru/vacancy/82401919;0;0;
Junior Data Scientist;https://hh.ru/vacancy/82534003;0;0;
Заместитель генерального директора;https://hh.ru/vacancy/82453488;0;0;
Секретарь;https://hh.ru/vacancy/82454698;0;0;
QA специалист (manual);https://hh.ru/vacancy/82254077;0;0;
Специалист отдела кадров;https://hh.ru/vacancy/82472358;0;0;
QA-инженер;https://hh.ru/vacancy/82106413;0;0;
Менеджер (Гемодиализный центр);https://hh.ru/vacancy/82423472;0;0;
Оператор заправочных станций (51);https://hh.ru/vacancy/81604524;0;0;
Стажер в IT-компанию (с уклоном в python разработку);https://hh.ru/vacancy/82345120;0;0;
Вечерняя уборщица / Вечерний уборщик в офис;https://hh.ru/vacancy/82442371;0;0;
Frontend-разработчик;https://hh.ru/vacancy/82529668;0;0;
Директор по закупкам;https://hh.ru/vacancy/82509998;0;0;
Финансовый директор;https://hh.ru/vacancy/82511678;0;0;
Документовед (специалист по заполнению документов);https://hh.ru/vacancy/81434395;20000;0;Наличие личного ПК. Знание базовых офисных программ Excel, Word, использование электронной почты. Ответственность, внимательность, пунктуальность (своевременное исполнение заданий) и точность...
Бариста в Monkey Grinder;https://hh.ru/vacancy/81365499;30000;0;Коммуникабельность. Ответственность. Желание работать. Опрятность.
Junior HTML-верстальщик;https://hh.ru/vacancy/82529689;30000;0;HTML5, CSS3. Уметь верстать адаптивно и кроссбраузерно. Умение работать по сетке Bootstrap. Умение работать с макетами в Figma. 
Кассир;https://hh.ru/vacancy/81561583;30000;0;Любишь людей, хочешь им помогать и у тебя это классно получается. Уверенно знаешь ПК. Обладаешь знаниями кассовой дисциплины и контрольно...
Front-end разработчик junior;https://hh.ru/vacancy/81727959;30000;0;Уверенные знания HTML, CSS, Sass(scss). Знание JavaScript, jQuery. Знание БЭМ, семантической верстки. Умение и опыт работы в условиях многозадачности. 
Бухгалтер на первичную документацию;https://hh.ru/vacancy/82461664;35000;0;Знание стандартов российского учета и налогового законодательства. - Знание программ: <highlighttext>1</highlighttext>С: Бухгалтерия 8.3, Word, Excel, ЭДО. - Ответственность, внимательность к...
Водитель категории В (на Kia Sorento);https://hh.ru/vacancy/81935532;35000;0;"Наличие категории ""В"". Знание правил дорожного движение, опыт вождения. Водительский стаж не менее 5 лет."
QA тестировщик / Junior;https://hh.ru/vacancy/82537197;40000;0;Инструменты с которыми нужно будет работать. Ты работал QA в проектах на позиции QA Junior или прошел курсы по QA.
Оператор ПК, г. Ярославль;https://hh.ru/vacancy/82519844;40000;0;Умение обращаться с оргтехникой на уровне уверенного пользователя. Навыки делового письма. Знание <highlighttext>1</highlighttext>С желательно. Работа с большим объемом информации. 
Оператор склада;https://hh.ru/vacancy/80400493;40000;0;Дисциплинированность. Исполнительность. Наличие удостоверения стропальщика желательно.
Водитель персонального автомобиля;https://hh.ru/vacancy/82442083;43000;0;"Наличие стажа персонального водителя; права категории В(С- желательно); отличное знание города и умение быстро ориентироваться в незнакомой местности;умение..."
Специалист по документообороту;https://hh.ru/vacancy/82443620;45000;0;Опыт работы в <highlighttext>1</highlighttext>С. Грамотная письменная и устная речь. Ведение деловой переписки и переговоров. Навык работы в режиме многозадачности.
Специалист отдела телемаркетинга;https://hh.ru/vacancy/82252671;50000;0;Ü Готов развивать навыки коммуникации, клиентоориентированности. Нам не важен твой предыдущий опыт работы, образование.
Повар в ресторан (холодный, горячий цех);https://hh.ru/vacancy/82538433;50000;0;Опыт работы поваром в ресторане с большим гостевым потоком. Общий стаж работы поваром не менее одного года. Медицинская книжка. 
Персональный водитель руководителя;https://hh.ru/vacancy/82443212;50000;0;Хорошее знание города. Исполнительность, пунктуальность, ответственность. Водительское удостоверение категория В. Опрятный внешний вид.
Оператор-менеджер;https://hh.ru/vacancy/82454857;55000;0;Требования: Уверенный пользователь ПК. Работа с программами Microsoft Office, электронная почта. Желателен опыт работы в фармацевтической отрасли. Рассмотрим кандидатов без...
